mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.010091590881347656,0.00039004840591870776,0.006654024124145508,0.0006473453520571953,gini,4,"{'criterion': 'gini', 'max_depth': 4}",-0.6546536707079771,-0.6813851438692469,-0.6648039453209388,-0.6959202057243532,-0.6595282999806273,-0.6712582531206286,0.015269105208892282,1
0.00967717170715332,0.001693845374955427,0.006200218200683593,0.00022001271646777647,gini,5,"{'criterion': 'gini', 'max_depth': 5}",-0.6648039453209388,-0.6846531968814576,-0.6408699444616557,-0.6959202057243532,-0.6861865766227285,-0.6744867738022268,0.019613678546035625,3
0.009871196746826173,0.0013027723875366117,0.008521032333374024,0.0025891708153922394,gini,6,"{'criterion': 'gini', 'max_depth': 6}",-0.6714855598915417,-0.6879057244377936,-0.6338656910463875,-0.6926908601986103,-0.6861865766227285,-0.6744268824394123,0.02148210463638576,2
0.009501361846923828,0.0012469601727600874,0.006384086608886719,0.00026370230438172235,gini,7,"{'criterion': 'gini', 'max_depth': 7}",-0.6943650748294136,-0.6879057244377936,-0.6408699444616557,-0.6829112043336852,-0.6894463886843959,-0.6790996673493889,0.019461107242987264,9
0.010526084899902343,0.0018780727986475718,0.0064471721649169925,0.0009112886391560726,gini,8,"{'criterion': 'gini', 'max_depth': 8}",-0.6846531968814576,-0.7071067811865476,-0.6477984695434662,-0.6894463886843959,-0.6763128737049247,-0.6810635420001584,0.01944500934850927,11
0.008942222595214844,0.00020400627296152527,0.006670665740966797,0.0007495190228316396,gini,9,"{'criterion': 'gini', 'max_depth': 9}",-0.6681531047810609,-0.6943650748294136,-0.6714855598915417,-0.6894463886843959,-0.6662928697958632,-0.6779485995964551,0.011621346316801819,6
0.00967721939086914,0.001541720894608328,0.0058365345001220705,0.0012920795280673995,gini,10,"{'criterion': 'gini', 'max_depth': 10}",-0.6911429457272724,-0.7039429765866795,-0.6338656910463875,-0.6894463886843959,-0.6662928697958632,-0.6769381743681196,0.024722668248181628,5
0.008082437515258788,0.000509301449293725,0.006683921813964844,0.001176012015193026,entropy,4,"{'criterion': 'entropy', 'max_depth': 4}",-0.6714855598915417,-0.6911429457272724,-0.6648039453209388,-0.6861865766227285,-0.6894463886843959,-0.6806130832493754,0.010518646697961964,10
0.009707307815551758,0.0012909413414394547,0.007310819625854492,0.0011045770141685557,entropy,5,"{'criterion': 'entropy', 'max_depth': 5}",-0.6648039453209388,-0.6813851438692469,-0.6580544918817243,-0.7086904489735752,-0.6662928697958632,-0.6758453799682697,0.018106170056724012,4
0.008635902404785156,0.00048090951972770885,0.0060882091522216795,0.00010687540902617974,entropy,6,"{'criterion': 'entropy', 'max_depth': 6}",-0.6681531047810609,-0.6879057244377936,-0.6512350903146596,-0.7149900435193756,-0.6729894488075411,-0.6790546823720861,0.021444124047590732,8
0.009035968780517578,0.000992112788591167,0.006409788131713867,0.0005518685845909482,entropy,7,"{'criterion': 'entropy', 'max_depth': 7}",-0.6846531968814576,-0.6846531968814576,-0.6512350903146596,-0.7086904489735752,-0.6629192133345297,-0.678430229277136,0.019866045134579898,7
0.009172439575195312,0.0005027246239806561,0.0064579486846923825,0.0007814892696059661,entropy,8,"{'criterion': 'entropy', 'max_depth': 8}",-0.6781013409302687,-0.6975723208794503,-0.6580544918817243,-0.7023343524283123,-0.6926908601986103,-0.6857506732636731,0.016053203480725253,14
0.009846210479736328,0.0010458690392871478,0.006075525283813476,0.00020335445023276415,entropy,9,"{'criterion': 'entropy', 'max_depth': 9}",-0.6781013409302687,-0.710256492905405,-0.6338656910463875,-0.7118472149268431,-0.6894463886843959,-0.68470342569866,0.028426406818605882,13
0.00905003547668457,0.0002677049166626807,0.005742692947387695,0.00058056042364734,entropy,10,"{'criterion': 'entropy', 'max_depth': 10}",-0.6975723208794503,-0.6943650748294136,-0.6373774391990981,-0.6959202057243532,-0.6861865766227285,-0.6822843234510086,0.02279236950227894,12
