mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.011760997772216796,0.0017632750783515162,0.006307411193847656,0.0004796747984979486,gini,4,"{'criterion': 'gini', 'max_depth': 4}",-0.6681531047810609,-0.6879057244377936,-0.6681531047810609,-0.705519558576254,-0.6763128737049247,-0.6812088732562188,0.0141473264544087,12
0.010397672653198242,0.003716459961333199,0.008800840377807618,0.0028431124619728776,gini,5,"{'criterion': 'gini', 'max_depth': 5}",-0.6714855598915417,-0.674801558131828,-0.6477984695434662,-0.705519558576254,-0.6861865766227285,-0.6771583445531636,0.018897643365263513,3
0.010550642013549804,0.0020704453279494963,0.007244396209716797,0.0007011571469620089,gini,6,"{'criterion': 'gini', 'max_depth': 6}",-0.6813851438692469,-0.6943650748294136,-0.6267831705280087,-0.6991346348652464,-0.6926908601986103,-0.6788717768581052,0.02668757270401939,7
0.010295915603637695,0.002095608347979011,0.0075113773345947266,0.0017463265972186093,gini,7,"{'criterion': 'gini', 'max_depth': 7}",-0.6714855598915417,-0.6846531968814576,-0.6408699444616557,-0.6991346348652464,-0.6926908601986103,-0.6777668392597024,0.020627972889060046,4
0.010987663269042968,0.0018058702393576919,0.0065630912780761715,0.0002488238729880868,gini,8,"{'criterion': 'gini', 'max_depth': 8}",-0.6813851438692469,-0.6975723208794503,-0.6580544918817243,-0.6959202057243532,-0.6796200468436381,-0.6825104418396826,0.014243567915047115,13
0.010163116455078124,0.0011775789616292585,0.00669703483581543,0.000507629081042398,gini,9,"{'criterion': 'gini', 'max_depth': 9}",-0.674801558131828,-0.6846531968814576,-0.6648039453209388,-0.6894463886843959,-0.6763128737049247,-0.678003592544709,0.00851465868650295,6
0.011463546752929687,0.002377073277104598,0.007538604736328125,0.0011956547586973556,gini,10,"{'criterion': 'gini', 'max_depth': 10}",-0.6975723208794503,-0.6781013409302687,-0.6580544918817243,-0.6829112043336852,-0.6729894488075411,-0.6779257613665339,0.012884931533186221,5
0.009445095062255859,0.0017371726793107022,0.007166147232055664,0.001178167702715689,entropy,4,"{'criterion': 'entropy', 'max_depth': 4}",-0.6681531047810609,-0.6879057244377936,-0.6681531047810609,-0.6861865766227285,-0.6894463886843959,-0.6799689798614079,0.009702592537914312,10
0.0103179931640625,0.0018634665060704846,0.006580877304077149,0.000327089346557177,entropy,5,"{'criterion': 'entropy', 'max_depth': 5}",-0.6714855598915417,-0.674801558131828,-0.6580544918817243,-0.7086904489735752,-0.6662928697958632,-0.6758649857349065,0.017358919209803605,2
0.009580230712890625,0.0026810370135370767,0.007652568817138672,0.0018052565774072382,entropy,6,"{'criterion': 'entropy', 'max_depth': 6}",-0.6781013409302687,-0.6911429457272724,-0.6546536707079771,-0.7118472149268431,-0.6595282999806273,-0.6790546944545978,0.02097176264281355,9
0.009190559387207031,0.0009157123602243822,0.006205558776855469,0.00013077053678737537,entropy,7,"{'criterion': 'entropy', 'max_depth': 7}",-0.6813851438692469,-0.6943650748294136,-0.6546536707079771,-0.7086904489735752,-0.6662928697958632,-0.6810774416352153,0.019266205050942595,11
0.009691572189331055,0.0009510314393674065,0.006769371032714844,0.0006887633458962057,entropy,8,"{'criterion': 'entropy', 'max_depth': 8}",-0.6911429457272724,-0.7007648882267351,-0.6681531047810609,-0.705519558576254,-0.6763128737049247,-0.6883786742032494,0.014209339267537894,14
0.00924677848815918,0.0008840416677670747,0.006347036361694336,0.00020511673444298856,entropy,9,"{'criterion': 'entropy', 'max_depth': 9}",-0.6846531968814576,-0.6911429457272724,-0.6338656910463875,-0.7086904489735752,-0.6763128737049247,-0.6789330312667234,0.024920820991926138,8
0.009566545486450195,0.001039780549617946,0.006021356582641602,0.0014730642283063465,entropy,10,"{'criterion': 'entropy', 'max_depth': 10}",-0.6879057244377936,-0.6879057244377936,-0.6408699444616557,-0.6959202057243532,-0.6595282999806273,-0.6744259798084447,0.02084877526722443,1
