mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.010613632202148438,0.0018994065957681865,0.007440805435180664,0.0013737017047240607,gini,4,"{'criterion': 'gini', 'max_depth': 4}",-0.6546536707079771,-0.6813851438692469,-0.6648039453209388,-0.7023343524283123,-0.6595282999806273,-0.6725410824614204,0.017406962146025287,2
0.008750343322753906,0.0004798473615348727,0.008086061477661133,0.001563775429211907,gini,5,"{'criterion': 'gini', 'max_depth': 5}",-0.674801558131828,-0.6846531968814576,-0.6443435197381684,-0.6926908601986103,-0.6861865766227285,-0.6765351423145586,0.017084297426142557,7
0.011246252059936523,0.0025477770151849733,0.006823348999023438,0.001064119308604943,gini,6,"{'criterion': 'gini', 'max_depth': 6}",-0.674801558131828,-0.6911429457272724,-0.6338656910463875,-0.6894463886843959,-0.6861865766227285,-0.6750886320425225,0.021384404660321807,4
0.010425233840942382,0.0013328513538842643,0.00717778205871582,0.0018416254407822256,gini,7,"{'criterion': 'gini', 'max_depth': 7}",-0.6911429457272724,-0.6943650748294136,-0.6373774391990981,-0.6796200468436381,-0.6796200468436381,-0.6764251106886121,0.02041368592107193,5
0.010959529876708984,0.0014931753006352415,0.006109476089477539,0.0015919262409047601,gini,8,"{'criterion': 'gini', 'max_depth': 8}",-0.6911429457272724,-0.7133922984085064,-0.6477984695434662,-0.6894463886843959,-0.669649530182425,-0.6822859265092133,0.022119622875719856,13
0.009490394592285156,0.0003270852173852202,0.00839090347290039,0.001661322249470423,gini,9,"{'criterion': 'gini', 'max_depth': 9}",-0.674801558131828,-0.6943650748294136,-0.6614378277661477,-0.6861865766227285,-0.6662928697958632,-0.6766167814291961,0.012221797903774258,8
0.012680578231811523,0.002873179870821595,0.009763526916503906,0.0019334267008141036,gini,10,"{'criterion': 'gini', 'max_depth': 10}",-0.6879057244377936,-0.6943650748294136,-0.6338656910463875,-0.6829112043336852,-0.6595282999806273,-0.6717151989255814,0.022278268714200255,1
0.010146379470825195,0.0011776355401770418,0.008794689178466797,0.0023748250478609545,entropy,4,"{'criterion': 'entropy', 'max_depth': 4}",-0.6714855598915417,-0.6943650748294136,-0.6648039453209388,-0.6861865766227285,-0.6894463886843959,-0.6812575090698038,0.011219380439280722,12
0.012411260604858398,0.002701982181130215,0.009802007675170898,0.00238845591384146,entropy,5,"{'criterion': 'entropy', 'max_depth': 5}",-0.6648039453209388,-0.6781013409302687,-0.6546536707079771,-0.7086904489735752,-0.6629192133345297,-0.673833723853458,0.01898284341446935,3
0.012056207656860352,0.0018825316597008395,0.010077190399169923,0.003793793680374037,entropy,6,"{'criterion': 'entropy', 'max_depth': 6}",-0.6681531047810609,-0.6846531968814576,-0.6512350903146596,-0.7118472149268431,-0.6662928697958632,-0.676436295339977,0.020630326023901132,6
0.01644110679626465,0.008072422268734244,0.013635349273681641,0.008154509641789202,entropy,7,"{'criterion': 'entropy', 'max_depth': 7}",-0.6813851438692469,-0.6879057244377936,-0.6512350903146596,-0.7086904489735752,-0.669649530182425,-0.67977318755554,0.019088509632528533,9
0.018932580947875977,0.003186264729341607,0.010537385940551758,0.0025361647134893245,entropy,8,"{'criterion': 'entropy', 'max_depth': 8}",-0.6781013409302687,-0.7007648882267351,-0.6580544918817243,-0.705519558576254,-0.6991346348652464,-0.6883149828960458,0.017821774515724753,14
0.02101612091064453,0.013402116569482111,0.012054920196533203,0.006967591105218689,entropy,9,"{'criterion': 'entropy', 'max_depth': 9}",-0.6681531047810609,-0.7039429765866795,-0.6338656910463875,-0.7086904489735752,-0.6861865766227285,-0.6801677596020863,0.027214938519055792,10
0.020039081573486328,0.00989332572746756,0.017234277725219727,0.010999536154086472,entropy,10,"{'criterion': 'entropy', 'max_depth': 10}",-0.6943650748294136,-0.6943650748294136,-0.6408699444616557,-0.6959202057243532,-0.6763128737049247,-0.6803666347099522,0.021024974395761193,11
