mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.009696149826049804,0.0014073745658338152,0.008134603500366211,0.0033314915971882015,gini,4,"{'criterion': 'gini', 'max_depth': 4}",-0.6681531047810609,-0.6879057244377936,-0.6681531047810609,-0.705519558576254,-0.6763128737049247,-0.6812088732562188,0.0141473264544087,12
0.008771371841430665,0.0006692865765209175,0.008754539489746093,0.0027104796513111244,gini,5,"{'criterion': 'gini', 'max_depth': 5}",-0.6714855598915417,-0.6781013409302687,-0.6477984695434662,-0.705519558576254,-0.6861865766227285,-0.6778183011128518,0.0188613982007247,6
0.009012985229492187,0.0012047715814666661,0.0069159984588623045,0.0012564826272942003,gini,6,"{'criterion': 'gini', 'max_depth': 6}",-0.6813851438692469,-0.6943650748294136,-0.6373774391990981,-0.6991346348652464,-0.6926908601986103,-0.680990630592323,0.022570964209685362,11
0.011144018173217774,0.004429412754040972,0.006632757186889648,0.0009220051750367992,gini,7,"{'criterion': 'gini', 'max_depth': 7}",-0.674801558131828,-0.6846531968814576,-0.6443435197381684,-0.6991346348652464,-0.6829112043336852,-0.6771688227900772,0.01819116359041167,5
0.010408592224121094,0.0019659539973104047,0.006402206420898437,0.0006636167656945634,gini,8,"{'criterion': 'gini', 'max_depth': 8}",-0.6813851438692469,-0.6975723208794503,-0.6580544918817243,-0.6959202057243532,-0.6796200468436381,-0.6825104418396826,0.014243567915047115,13
0.008903741836547852,0.0008955038012714844,0.005900239944458008,5.484531162243201e-05,gini,9,"{'criterion': 'gini', 'max_depth': 9}",-0.6714855598915417,-0.6879057244377936,-0.6681531047810609,-0.6926908601986103,-0.6763128737049247,-0.6793096246027862,0.009461657756719888,7
0.008907127380371093,0.0002780680456912476,0.00587306022644043,0.00010479038743105886,gini,10,"{'criterion': 'gini', 'max_depth': 10}",-0.6943650748294136,-0.674801558131828,-0.6477984695434662,-0.6829112043336852,-0.6763128737049247,-0.6752378361086635,0.015355759328688684,1
0.008938217163085937,0.001967178965249833,0.005913257598876953,7.950964712024511e-05,entropy,4,"{'criterion': 'entropy', 'max_depth': 4}",-0.6681531047810609,-0.6879057244377936,-0.6681531047810609,-0.6861865766227285,-0.6894463886843959,-0.6799689798614079,0.009702592537914312,9
0.008505535125732423,0.0008561315972261691,0.006291675567626953,0.0007512718621106952,entropy,5,"{'criterion': 'entropy', 'max_depth': 5}",-0.6714855598915417,-0.6781013409302687,-0.6580544918817243,-0.7086904489735752,-0.6662928697958632,-0.6765249422945946,0.017368667615288744,3
0.008487844467163086,0.0006721658446271409,0.005303716659545899,0.001005263993971688,entropy,6,"{'criterion': 'entropy', 'max_depth': 6}",-0.6781013409302687,-0.6911429457272724,-0.6477984695434662,-0.7118472149268431,-0.6561198621765698,-0.6770019666608841,0.02325628418745089,4
0.008934593200683594,0.001424333388972027,0.005772590637207031,8.749669509286408e-05,entropy,7,"{'criterion': 'entropy', 'max_depth': 7}",-0.6781013409302687,-0.6911429457272724,-0.6546536707079771,-0.7086904489735752,-0.6662928697958632,-0.6797762552269914,0.01887317422398739,8
0.008851432800292968,0.0005609954127839826,0.005950784683227539,0.000119345739473927,entropy,8,"{'criterion': 'entropy', 'max_depth': 8}",-0.6911429457272724,-0.7039429765866795,-0.6681531047810609,-0.705519558576254,-0.6829112043336852,-0.6903339580009904,0.013882001544502871,14
0.00873866081237793,0.0001808649438233763,0.005903482437133789,5.232318297410604e-05,entropy,9,"{'criterion': 'entropy', 'max_depth': 9}",-0.6813851438692469,-0.6943650748294136,-0.6373774391990981,-0.7086904489735752,-0.6796200468436381,-0.6802876307429944,0.023865578799201675,10
0.008864068984985351,0.0005039532999381874,0.005346775054931641,0.0008328575591573935,entropy,10,"{'criterion': 'entropy', 'max_depth': 10}",-0.6879057244377936,-0.6943650748294136,-0.6443435197381684,-0.6959202057243532,-0.6561198621765698,-0.6757308773812596,0.021320540947667888,2
