mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.008955097198486328,0.001832447904047959,0.005359458923339844,0.0015386660996994166,gini,4,"{'criterion': 'gini', 'max_depth': 4}",-0.6681531047810609,-0.6879057244377936,-0.6681531047810609,-0.705519558576254,-0.6763128737049247,-0.6812088732562188,0.0141473264544087,12
0.009018373489379884,0.0010174269919129171,0.008774423599243164,0.0028251900104875184,gini,5,"{'criterion': 'gini', 'max_depth': 5}",-0.6714855598915417,-0.6781013409302687,-0.6443435197381684,-0.705519558576254,-0.6861865766227285,-0.6771273111517923,0.01997871404985141,4
0.009981489181518555,0.0021471165684699553,0.006209182739257813,0.00021972164713143243,gini,6,"{'criterion': 'gini', 'max_depth': 6}",-0.6813851438692469,-0.6911429457272724,-0.6373774391990981,-0.6991346348652464,-0.6926908601986103,-0.6803462047718949,0.022223228602219765,9
0.010361385345458985,0.001924411610947164,0.007166099548339844,0.0009723907334261907,gini,7,"{'criterion': 'gini', 'max_depth': 7}",-0.674801558131828,-0.6846531968814576,-0.6477984695434662,-0.6991346348652464,-0.6829112043336852,-0.6778598127511367,0.016954774888598378,5
0.009784555435180664,0.0012308749659164613,0.006282377243041992,0.00017991865323829415,gini,8,"{'criterion': 'gini', 'max_depth': 8}",-0.6813851438692469,-0.6975723208794503,-0.6546536707079771,-0.6959202057243532,-0.6796200468436381,-0.6818302776049331,0.015427178791727902,13
0.009628200531005859,0.0009680053232986394,0.006328439712524414,0.0007751175761698945,gini,9,"{'criterion': 'gini', 'max_depth': 9}",-0.674801558131828,-0.6911429457272724,-0.6580544918817243,-0.6926908601986103,-0.6763128737049247,-0.678600545928872,0.012630556902350187,6
0.009334850311279296,0.0008212195027942713,0.006177568435668945,0.00016062453430024112,gini,10,"{'criterion': 'gini', 'max_depth': 10}",-0.6975723208794503,-0.674801558131828,-0.6512350903146596,-0.6763128737049247,-0.6729894488075411,-0.6745822583676808,0.014691585309407645,2
0.008649921417236328,0.00036959914202932653,0.006484603881835938,0.00045157676245858095,entropy,4,"{'criterion': 'entropy', 'max_depth': 4}",-0.6681531047810609,-0.6879057244377936,-0.6681531047810609,-0.6861865766227285,-0.6894463886843959,-0.6799689798614079,0.009702592537914312,8
0.008548355102539063,0.00043568307673668783,0.006007242202758789,0.00042517816715580787,entropy,5,"{'criterion': 'entropy', 'max_depth': 5}",-0.6714855598915417,-0.6781013409302687,-0.6580544918817243,-0.7086904489735752,-0.6629192133345297,-0.6758502110023279,0.017812901588363045,3
0.008936309814453125,0.0009725527193758151,0.006230068206787109,0.00032087475339198364,entropy,6,"{'criterion': 'entropy', 'max_depth': 6}",-0.674801558131828,-0.6911429457272724,-0.6546536707079771,-0.7118472149268431,-0.6629192133345297,-0.6790729205656901,0.02047108417371979,7
0.008755302429199219,0.0006611930640525087,0.0067405223846435545,0.000651472306721195,entropy,7,"{'criterion': 'entropy', 'max_depth': 7}",-0.6879057244377936,-0.6911429457272724,-0.6512350903146596,-0.7086904489735752,-0.6662928697958632,-0.6810534158498328,0.020097584947192743,11
0.009545993804931641,0.0009200236481649527,0.00815119743347168,0.0028260672201231673,entropy,8,"{'criterion': 'entropy', 'max_depth': 8}",-0.6879057244377936,-0.6975723208794503,-0.6681531047810609,-0.705519558576254,-0.6796200468436381,-0.6877541511036394,0.01313311694871209,14
0.01287984848022461,0.003898557212322589,0.007454442977905274,0.0014283430544681068,entropy,9,"{'criterion': 'entropy', 'max_depth': 9}",-0.6879057244377936,-0.6879057244377936,-0.6408699444616557,-0.7086904489735752,-0.6796200468436381,-0.6809983778308913,0.022246189064407614,10
0.009587574005126952,0.0013402727039765047,0.0055087566375732425,0.0012022944401403268,entropy,10,"{'criterion': 'entropy', 'max_depth': 10}",-0.6943650748294136,-0.6846531968814576,-0.6408699444616557,-0.6959202057243532,-0.6561198621765698,-0.67438565681469,0.02202398033174627,1
