mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0022673606872558594,0.00022382931247246605,0.0,0.0,0.001,l1,"{'C': 0.001, 'penalty': 'l1'}",,,,,,,,8
0.15002923011779784,0.156515871989107,0.026279354095458986,0.012730611842862328,0.001,l2,"{'C': 0.001, 'penalty': 'l2'}",-0.6648039453209388,-0.6879057244377936,-0.6813851438692469,-0.6926908601986103,-0.669649530182425,-0.6792870408018029,0.010592334815021564,2
0.0050374031066894535,0.002883869947758774,0.0,0.0,0.01,l1,"{'C': 0.01, 'penalty': 'l1'}",,,,,,,,9
0.22310338020324708,0.09486458524287898,0.10564064979553223,0.08739549707191155,0.01,l2,"{'C': 0.01, 'penalty': 'l2'}",-0.674801558131828,-0.6781013409302687,-0.6714855598915417,-0.6861865766227285,-0.6595282999806273,-0.6740206671113989,0.008737579956817532,1
0.005318784713745117,0.006281629687346279,0.0,0.0,0.1,l1,"{'C': 0.1, 'penalty': 'l1'}",,,,,,,,10
0.06618237495422363,0.008603467166564294,0.011460447311401367,0.004628390766907636,0.1,l2,"{'C': 0.1, 'penalty': 'l2'}",-0.7007648882267351,-0.7071067811865476,-0.6648039453209388,-0.6829112043336852,-0.6662928697958632,-0.6843759377727541,0.017306037208579792,4
0.0032616138458251955,0.0019813396044726017,0.0,0.0,1.0,l1,"{'C': 1.0, 'penalty': 'l1'}",,,,,,,,11
0.058772611618041995,0.022595585951767236,0.012904977798461914,0.007614075449879703,1.0,l2,"{'C': 1.0, 'penalty': 'l2'}",-0.6943650748294136,-0.7071067811865476,-0.6648039453209388,-0.6829112043336852,-0.669649530182425,-0.6837673071706021,0.015599342027711873,3
0.0023592472076416015,0.00048434346993428076,0.0,0.0,10.0,l1,"{'C': 10.0, 'penalty': 'l1'}",,,,,,,,12
0.06682157516479492,0.029247746311017307,0.01004185676574707,0.003692023494839638,10.0,l2,"{'C': 10.0, 'penalty': 'l2'}",-0.7007648882267351,-0.7007648882267351,-0.6614378277661477,-0.6796200468436381,-0.6796200468436381,-0.6844415395813789,0.014890048782419002,5
0.0031496524810791016,0.0014847251848757296,0.0,0.0,100.0,l1,"{'C': 100.0, 'penalty': 'l1'}",,,,,,,,13
0.056772375106811525,0.021251411100996865,0.00990915298461914,0.0036442810104025847,100.0,l2,"{'C': 100.0, 'penalty': 'l2'}",-0.7007648882267351,-0.7007648882267351,-0.6614378277661477,-0.6796200468436381,-0.6796200468436381,-0.6844415395813789,0.014890048782419002,5
0.0019417285919189453,0.00021992530998395625,0.0,0.0,1000.0,l1,"{'C': 1000.0, 'penalty': 'l1'}",,,,,,,,14
0.08238682746887208,0.03240797863907923,0.01562666893005371,0.007632551921239253,1000.0,l2,"{'C': 1000.0, 'penalty': 'l2'}",-0.7007648882267351,-0.7007648882267351,-0.6614378277661477,-0.6796200468436381,-0.6796200468436381,-0.6844415395813789,0.014890048782419002,5
