mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06701250076293945,0.02537641119557947,0.009433937072753907,0.005034356843128468,20,{'n_estimators': 20},-0.6943650748294136,-0.6714855598915417,-0.6546536707079771,-0.6894463886843959,-0.6894463886843959,-0.679879416559545,0.014830261564231693,4
0.08069524765014649,0.013875413225597308,0.006423234939575195,0.0005758279481046274,40,{'n_estimators': 40},-0.6648039453209388,-0.674801558131828,-0.674801558131828,-0.6861865766227285,-0.6796200468436381,-0.6760427370101922,0.0070012301259129665,1
0.1076742172241211,0.006120251198442482,0.009449100494384766,0.00480418105990152,60,{'n_estimators': 60},-0.6681531047810609,-0.6813851438692469,-0.6781013409302687,-0.6796200468436381,-0.6894463886843959,-0.6793412050217221,0.00682760610449662,3
0.1482313632965088,0.006896271637363624,0.007256126403808594,0.002016597130572284,80,{'n_estimators': 80},-0.6580544918817243,-0.6879057244377936,-0.674801558131828,-0.6861865766227285,-0.6894463886843959,-0.6792789479516941,0.01179862714485156,2
