mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.010161018371582032,0.0010387920156790797,0.00716400146484375,0.0007180082605219699,gini,4,"{'criterion': 'gini', 'max_depth': 4}",-0.6681531047810609,-0.6879057244377936,-0.6681531047810609,-0.705519558576254,-0.6763128737049247,-0.6812088732562188,0.0141473264544087,12
0.012760639190673828,0.006455917474242158,0.011716699600219727,0.006825831888653036,gini,5,"{'criterion': 'gini', 'max_depth': 5}",-0.6714855598915417,-0.6781013409302687,-0.6477984695434662,-0.705519558576254,-0.6861865766227285,-0.6778183011128518,0.0188613982007247,4
0.012293100357055664,0.003314577724379879,0.008864641189575195,0.000703776673350063,gini,6,"{'criterion': 'gini', 'max_depth': 6}",-0.6781013409302687,-0.6943650748294136,-0.6338656910463875,-0.6991346348652464,-0.6926908601986103,-0.6796315203739853,0.023936783583339394,9
0.014621591567993164,0.0010919593577798721,0.010228919982910156,0.002978092117172899,gini,7,"{'criterion': 'gini', 'max_depth': 7}",-0.6813851438692469,-0.6846531968814576,-0.6443435197381684,-0.6991346348652464,-0.6829112043336852,-0.6784855399375609,0.01821041935329147,6
0.015362215042114259,0.0033693648294006047,0.011947202682495116,0.004564861629556564,gini,8,"{'criterion': 'gini', 'max_depth': 8}",-0.6879057244377936,-0.6943650748294136,-0.6546536707079771,-0.6959202057243532,-0.6796200468436381,-0.6824929445086351,0.015058656748938302,13
0.01858201026916504,0.007750443538879046,0.008139610290527344,0.0012305496162254158,gini,9,"{'criterion': 'gini', 'max_depth': 9}",-0.6781013409302687,-0.6846531968814576,-0.6614378277661477,-0.6959202057243532,-0.6763128737049247,-0.6792850890014304,0.01126324773288827,8
0.011307573318481446,0.0016493383086981532,0.007832622528076172,0.002377081154098265,gini,10,"{'criterion': 'gini', 'max_depth': 10}",-0.7007648882267351,-0.6781013409302687,-0.6477984695434662,-0.6861865766227285,-0.6763128737049247,-0.6778328298056246,0.017321140553916946,5
0.008885431289672851,0.0010285568213430113,0.006885337829589844,0.0008798854687933579,entropy,4,"{'criterion': 'entropy', 'max_depth': 4}",-0.6681531047810609,-0.6879057244377936,-0.6681531047810609,-0.6861865766227285,-0.6894463886843959,-0.6799689798614079,0.009702592537914312,10
0.009429740905761718,0.0009527570294637945,0.007138776779174805,0.00024297987779700074,entropy,5,"{'criterion': 'entropy', 'max_depth': 5}",-0.6714855598915417,-0.674801558131828,-0.6614378277661477,-0.7086904489735752,-0.6662928697958632,-0.6765416529117912,0.016705090146912446,2
0.009920787811279298,0.0006330483970455213,0.008363628387451172,0.0036908901794947143,entropy,6,"{'criterion': 'entropy', 'max_depth': 6}",-0.6813851438692469,-0.6879057244377936,-0.6477984695434662,-0.7118472149268431,-0.6595282999806273,-0.6776929705515954,0.02239679147587263,3
0.009563875198364259,0.0011403838273308937,0.007253456115722656,0.0009282868744549909,entropy,7,"{'criterion': 'entropy', 'max_depth': 7}",-0.6781013409302687,-0.6943650748294136,-0.6546536707079771,-0.7086904489735752,-0.6662928697958632,-0.6804206810474197,0.01930046169249625,11
0.013172149658203125,0.004615692990471971,0.009858274459838867,0.0018858436175840905,entropy,8,"{'criterion': 'entropy', 'max_depth': 8}",-0.6879057244377936,-0.7039429765866795,-0.6681531047810609,-0.705519558576254,-0.6796200468436381,-0.6890282822450853,0.014282565357024728,14
0.013374948501586914,0.0032389881802109854,0.010467004776000977,0.002227168401505331,entropy,9,"{'criterion': 'entropy', 'max_depth': 9}",-0.6879057244377936,-0.6911429457272724,-0.6303343783829568,-0.7086904489735752,-0.6763128737049247,-0.6788772742453046,0.026396112918361494,7
0.012606573104858399,0.0036398924421195433,0.007070398330688477,0.0019188464308421637,entropy,10,"{'criterion': 'entropy', 'max_depth': 10}",-0.6879057244377936,-0.6911429457272724,-0.6477984695434662,-0.6959202057243532,-0.6595282999806273,-0.6764591290827026,0.0191491978935643,1
